stage,target,decision,eta,captured_power,rho_group,orientation_purity,lp11_ratio_db,lp01_suppression_db,darkness,model_scope,claim_boundary,source
Lumerical FDE retained proof,strict LP11x-like,target_mode_generated_revised_gate_proof,0.5224018666879716,0.5224019181476433,1.0,0.999999901494099,70.06537709061082,-268.4256601745825,0.00035982925811994094,,,
Lumerical EME,strict LP11x-like,lp11x_jones_polarization_eme_feasibility_pass,0.6469939129589908,0.6488429912113212,1.0,0.9971501915295743,25.439449040281087,-262.5970960433649,0.0033735340276212474,,,
COMSOL FDE retained,strict LP11x-like,strict_lp11x_gate_failed,0.00025136076272971815,0.40932695902753646,0.9997572983238221,0.0006142321625119713,-32.11400607110133,-5.14966755403942,1.0,,,
COMSOL FDE retained,LP11 two-lobe symmetry,lp11_two_lobe_comsol_symmetry_gate_pass_rotated_90deg,0.40897625392574594,0.40932695902753646,0.9997572983238221,0.999385767837488,32.114006071100846,-37.26367362514075,0.06052018146221205,,,
COMSOL FDE retained reoptimized,strict LP11x-like,fallback_jones_lp11x_gate_pass,0.5194825782627731,0.5195543510572912,0.9998669368434597,0.9999949194847454,52.940900338524,-46.6736134083809,0.03728812502622138,,,
RSoft BeamPROP/BPM,LP11 two-lobe / LP11x-like local projection,rsoft_beamprop_gate_i_feasibility_pass,0.6383154666167121,0.6383154666167429,0.9999999999999518,0.9996011331293387,33.98998773862949,-136.95245841346284,,RSoft BeamPROP scalar/semi-vector BPM plus local scalar LP-like projection,"RSoft BeamPROP scalar/semi-vector BPM feasibility addendum for the locked LP11x-like Jones candidate. It validates reviewed package/execution and, when final fields are available, local scalar LP11 projection diagnostics. It is not a fabricated splice, reflection, taper, robustness, or vendor-certified full-vector modal-overlap validation.",Demo for user/2026-05-22_task_a_n4_lp11x_like_camera_two_lobe/results/rsoft_beamprop_feasibility/rsoft_beamprop_3d_validation_summary.json
